iter	Passed	Remaining
560	4418	1094
561	4425	1086
562	4433	1078
563	4441	1070
564	4449	1063
565	4457	1055
566	4464	1047
567	4472	1039
568	4480	1031
569	4487	1023
570	4495	1015
571	4502	1007
572	4510	999
573	4517	991
574	4525	983
575	4532	975
576	4540	967
577	4547	959
578	4555	952
579	4562	944
580	4570	936
581	4578	928
582	4586	920
583	4593	912
584	4600	904
585	4608	896
586	4616	888
587	4623	880
588	4631	872
589	4638	864
590	4646	857
591	4654	849
592	4662	841
593	4669	833
594	4677	825
595	4684	817
596	4692	809
597	4699	801
598	4707	793
599	4714	785
600	4722	777
601	4729	769
602	4737	762
603	4745	754
604	4753	746
605	4761	738
606	4768	730
607	4776	722
608	4784	714
609	4792	707
610	4799	699
611	4807	691
612	4815	683
613	4822	675
614	4830	667
615	4838	659
616	4845	651
617	4852	643
618	4860	636
619	4868	628
620	4875	620
621	4883	612
622	4891	604
623	4898	596
624	4906	588
625	4913	580
626	4921	572
627	4928	565
628	4936	557
629	4943	549
630	4951	541
631	4959	533
632	4966	525
633	4973	517
634	5001	511
635	5008	504
636	5016	496
637	5024	488
638	5031	480
639	5039	472
640	5046	464
641	5053	456
642	5061	448
643	5069	440
644	5076	432
645	5083	424
646	5091	417
647	5099	409
648	5107	401
649	5115	393
650	5122	385
651	5130	377
652	5137	369
653	5145	361
654	5153	354
655	5160	346
656	5168	338
657	5175	330
658	5183	322
659	5190	314
660	5198	306
661	5205	298
662	5212	290
663	5220	283
664	5227	275
665	5234	267
666	5242	259
667	5250	251
668	5257	243
669	5265	235
670	5273	227
671	5280	220
672	5288	212
673	5295	204
674	5303	196
675	5310	188
676	5315	180
677	5322	172
678	5330	164
679	5338	157
680	5345	149
681	5353	141
682	5360	133
683	5368	125
684	5375	117
685	5383	109
686	5391	102
687	5398	94
688	5406	86
689	5414	78
690	5421	70
691	5429	62
692	5436	54
693	5444	47
694	5451	39
695	5459	31
696	5467	23
697	5474	15
698	5482	7
699	5490	0
